시장,종목명,코드,최종확률,절대금지확률,관망확률,예측시점가격,목표가,손절가,거래량파워
KOSPI,BNK금융지주,138930,25.462479072032696,40.33889758432978,34.1986218535214,17180,17867,16664,91
KOSPI,현대엘리베이터,017800,33.6909668043316,38.18418831715168,28.124847858748957,83100,86424,80607,95
KOSPI,롯데쇼핑,023530,37.570397735030916,39.44338223499217,22.986220029976913,163100,169624,158207,69
KOSPI,대한해운,005880,33.0770626021731,48.922480639989786,18.000461228185475,2455,2553,2381,60
KOSPI,에스엘,005850,33.368278252912845,40.0746702364394,26.557053000763876,68500,71240,66445,98
KOSPI,롯데케미칼,011170,37.10752260024491,35.16352878362326,27.728950851306006,81800,85072,79346,57
KOSPI,KCC,002380,25.221519246862677,30.49063891345334,44.287843329800104,530000,551200,514100,85
KOSPI,이수스페셜티케미컬,457190,34.131697720605416,36.428532971266655,29.43976930812793,96500,100360,93605,54
KOSPI,후성,093370,36.68532819902156,38.57455758647983,24.740113469440548,12380,12875,12008,55
KOSPI,카카오뱅크,323410,26.124479931864386,37.18727212486252,36.68824794327309,22500,23400,21825,80
KOSPI,맥쿼리인프라,088980,30.550586618776094,37.56066879964035,31.888746071699682,11040,11481,10708,83
KOSPI,현대백화점,069960,34.76266435143286,39.96023926870333,25.277093399631568,119800,124592,116206,103
KOSPI,JB금융지주,175330,28.887792481207676,44.67153781434162,26.44066523410234,25050,26052,24298,123
KOSPI,호텔신라,008770,36.92892797430456,39.99806365110521,23.073011354822466,57400,59696,55678,43
KOSPI,한화투자증권,003530,27.957042585433168,31.745971025985366,40.29698340834923,6730,6999,6528,37
KOSPI,동양고속,084670,32.444933401858066,42.946938002680845,24.60813157569332,45100,46904,43747,63
KOSPI,두산밥캣,241560,33.03454309267712,32.6364823292199,34.3289760682191,67000,69680,64990,73
KOSPI,퍼스텍,010820,49.268937440531886,38.407804183790496,12.323260238322773,11060,11502,10728,48
KOSPI,한솔테크닉스,004710,44.60818824785436,38.19991251035982,17.19190073190194,14800,15392,14356,39
KOSPI,팬오션,028670,35.21949140383794,42.19418094314891,22.586326162897027,5840,6073,5664,62
KOSPI,HJ중공업,097230,38.58650419045364,35.19224307975789,26.221254219904587,22050,22932,21388,29
KOSPI,디아이,003160,29.625168313612704,33.24672704035154,37.12810166580352,32100,33384,31137,120
KOSPI,미래에셋증권2우B,00680K,31.033074459817456,32.60535957293939,36.36156596724315,17770,18480,17236,114
KOSPI,CJ제일제당,097950,42.79023449867354,37.34819735473178,19.8615659114205,212500,221000,206125,101
KOSPI,효성,004800,34.21224543502952,37.36787903988254,28.41987552508794,219000,227760,212430,65
KOSPI,삼아알미늄,006110,43.1042456535866,37.37680881834397,19.51894478301137,83100,86424,80607,35
KOSPI,솔루엠,248070,33.6903549358966,37.41605362952739,28.893588454343767,19500,20280,18915,124
KOSPI,LG생활건강,051900,30.566746972395542,40.71748393420355,28.715770583517035,252000,262080,244440,70
KOSPI,SK이터닉스,475150,45.86543839440203,35.88192655432451,18.252635796331525,42250,43940,40982,32
KOSPI,삼진제약,005500,39.500766106874885,40.963288591315695,19.535949772157778,22500,23400,21825,142
KOSPI,티엠씨,217590,40.84162043266939,40.61525414865721,18.543121693383107,26600,27664,25802,82
KOSPI,코스맥스,192820,36.97538045031277,35.28195408573943,27.742663973831682,176500,183560,171205,74
KOSPI,농심,004370,30.72922326956562,45.311371975220425,23.959404755213953,393500,409240,381695,116
KOSPI,롯데에너지머티리얼즈,020150,40.78961527723647,36.86445333908268,22.345928403448617,57700,60008,55969,43
KOSPI,포스코DX,022100,25.785553941653117,33.72407432675716,40.4903739667639,31950,33228,30991,57
KOSPI,효성티앤씨,298020,37.19897883133511,35.13737268436863,27.663649229354327,395000,410800,383150,81
KOSPI,씨에스윈드,112610,41.32450398426525,33.73659140419032,24.938906101660546,51000,53040,49470,48
KOSPI,한진칼,180640,28.807632011397004,29.062144445602843,42.13022354300014,117700,122408,114169,85
KOSPI,금호석유화학,011780,34.703177892873875,43.5288234222318,21.767998684894323,140500,146120,136285,56
KOSPI,롯데관광개발,032350,36.95890227804386,41.83331712089814,21.207780601058005,18310,19042,17760,94
KOSPI,삼성화재우,000815,20.830799904036283,30.56393087110994,48.605267734737666,390000,405600,378300,122
KOSPI,카카오페이,377300,28.33856930834392,33.492823469985844,38.16860722167024,47800,49712,46366,40
KOSPI,미래산업,025560,34.054696957293814,43.08810851527453,22.857198997780014,27600,28704,26772,114
