이름,등락률,1등주(대장),1등 수익률,꼴등주(부진),꼴등 수익률
CCTV＆DVR,-1.96,포커스에이아이,1.71,한화비전,-4.38
카메라모듈/부품,-1.96,팸텍,29.99,LG이노텍,-18.17
자원개발,-1.96,삼성물산,6.7,큐로홀딩스,-11.5
유전자 치료제/분석,-1.99,CG인바이츠,10.34,바이젠셀,-17.22
2025 하반기 신규상장,-1.99,더핑크퐁컴퍼니,6.12,아우토크립트,-11.89
모바일솔루션(스마트폰),-2.0,포니링크,10.2,엠로,-8.33
렌터카,-2.0,레드캡투어,-0.62,쏘카,-3.63
반도체 재료/부품,-2.05,미코,15.71,두산,-12.94
로봇(산업용/협동로봇 등),-2.05,로보스타,29.95,코스모로보틱스,-15.07
전자파,-2.06,다산솔루에타,6.23,아모텍,-10.69
메타버스(Metaverse),-2.06,한빛소프트,15.66,씨이랩,-18.4
원격진료/비대면진료(U-Healthcare),-2.08,다이나믹솔루션,5.13,씨어스,-6.65
보안주(정보),-2.09,나노실리칸첨단소재,12.67,비트플래닛,-12.08
OLED(유기 발광 다이오드),-2.1,로보스타,29.95,에스켐,-12.95
폴더블폰,-2.11,테이팩스,7.56,SKC,-10.42
IT 대표주,-2.12,LG디스플레이,5.63,삼성에스디에스,-16.99
보안주(물리),-2.16,에스원,5.71,카티스,-10.48
석유화학,-2.17,동성케미컬,4.26,SKC,-10.42
SI(시스템통합),-2.19,나무기술,7.41,삼성에스디에스,-16.99
피팅(관이음쇠)/밸브,-2.19,화성밸브,1.29,한선엔지니어링,-9.83
수소에너지(수소차/연료전지 등),-2.2,미코,15.71,범한퓨얼셀,-9.65
5G(5세대 이동통신),-2.26,SK텔레콤,11.59,대덕전자,-11.42
마리화나(대마),-2.26,우리바이오,0.25,HLB바이오스텝,-5.82
항공/저가 항공사(LCC),-2.28,한진칼,2.79,제주항공,-4.26
마스크,-2.28,깨끗한나라,2.4,웰크론,-6.36
갤럭시 부품주,-2.3,알에프텍,11.51,아모텍,-10.69
낙태/피임,-2.31,지엘팜텍,-0.97,알리코제약,-3.6
GTX(수도권 광역급행철도),-2.34,유진기업,0.43,폴라리스AI,-9.38
재난/안전(지진/화재 등),-2.34,티케이지애강,2.51,폴라리스AI,-9.38
스마트팩토리(스마트공장),-2.34,팸텍,29.99,삼성에스디에스,-16.99
바이오시밀러(복제 바이오의약품),-2.36,프레스티지바이오파마,9.34,삼천당제약,-7.5
요소수,-2.38,TKG휴켐스,-1.82,유니온,-3.28
피지컬 AI/휴머노이드 로봇,-2.38,씨메스로보틱스,11.9,LG이노텍,-18.17
귀금속(금/은),-2.38,엘컴텍,-0.92,고려아연,-3.85
해저터널(지하화/지하도로 등),-2.39,티씨머티리얼즈,2.43,LS,-8.69
면역항암제,-2.43,CG인바이츠,10.34,바이젠셀,-17.22
의료기기,-2.48,하이로닉,8.59,한국비티비,-24.97
2차전지(나트륨이온),-2.48,디아이씨,10.47,삼성SDI,-7.67
2차전지(전고체),-2.51,미코,15.71,대주전자재료,-10.83
지능형로봇/인공지능(AI),-2.53,로보스타,29.95,씨이랩,-18.4
전기차,-2.55,성호전자,20.41,성문전자,-10.98
재택근무/스마트워크,-2.56,세종텔레콤,0.8,NHN,-10.57
농업,-2.57,대동금속,0.79,우림피티에스,-10.33
조림사업,-2.59,SK,1.67,자연과환경,-6.42
탄소나노튜브(CNT),-2.63,금호석유화학,-0.85,오픈베이스,-3.93
바이오인식(생체인식),-2.64,유니퀘스트,4.01,해성옵틱스,-10.59
2차전지(장비),-2.64,한울반도체,17.61,이노메트리,-9.2
전자결제(전자화폐),-2.68,한국정보통신,3.03,NHN,-10.57
콜드체인(저온 유통),-2.69,SCL사이언스,0.16,GST,-7.13
냉각시스템(액침냉각 등),-2.69,S-Oil,3.44,오텍,-8.57
UAM(도심항공모빌리티),-2.74,SK텔레콤,11.59,지아이에스,-10.36
해운,-2.75,KSS해운,-1.23,STX그린로지스,-4.9
드론(Drone),-2.75,한빛소프트,15.66,지아이에스,-10.36
제대혈,-2.78,강스템바이오텍,-1.48,녹십자,-4.21
플렉서블 디스플레이,-2.8,주성엔지니어링,6.15,SKC,-10.42
철도,-2.82,피앤씨테크,4.13,우림피티에스,-10.33
2차전지(소재/부품),-2.82,엠케이전자,12.53,에스켐,-12.95
자동차 대표주,-2.84,현대모비스,-0.26,현대위아,-6.11
HBM(고대역폭메모리),-2.86,엠케이전자,12.53,큐알티,-6.09
야놀자(Yanolja),-2.87,그래디언트,3.06,아주IB투자,-9.15
AI 챗봇(챗GPT 등),-2.88,SKAI,8.22,삼성에스디에스,-16.99
화폐/금융자동화기기(디지털화폐 등),-2.89,프리엠스,2.18,누리플렉스,-9.37
고체산화물 연료전지(SOFC),-2.89,미코,15.71,한선엔지니어링,-9.83
2차전지,-2.91,한울반도체,17.61,에스켐,-12.95
화이자(PFIZER),-2.91,대한약품,0.0,파미셀,-6.69
시스템반도체,-2.92,네패스,7.8,아이언디바이스,-7.91
철강 주요종목,-2.93,세아제강,-1.01,세아베스틸지주,-6.7
반도체 장비,-2.94,팸텍,29.99,미래산업,-13.64
태양광에너지,-3.04,삼성물산,6.7,대주전자재료,-10.83
페라이트,-3.05,케스피온,1.2,아모센스,-9.13
퓨리오사AI,-3.05,포바이포,1.66,엑스페릭스,-7.63
NI(네트워크통합),-3.09,오파스넷,-1.18,아이티센씨티에스,-4.88
CXL(컴퓨트익스프레스링크),-3.11,삼성전자,3.3,코리아써키트,-8.86
